INVDATE,STATE,ITEMNAME,RATE,SOLDQTY,GOODSVAL,ORDERTYPE,Year_Range,FY,Quarter,Region,Season
2021-05-29,HARYANA,"V.B.ELEVATOR CAP. 3 TPH, 3.5 MDH SPG (HANGING TYPE)",60000,1,60000,GOVT.,2021-2022,2021,Q1 2021,North,Summer/Pre-Monsoon
2021-05-29,HARYANA,"V.B.ELEVATOR CAP. 3 TPH, 3.75 MDH SPG (HANGING TYPE)",65000,1,65000,GOVT.,2021-2022,2021,Q1 2021,North,Summer/Pre-Monsoon
2021-05-29,HARYANA,SEED GRAVITY SEPARATOR MODEL G-4-P III,324000,1,324000,GOVT.,2021-2022,2021,Q1 2021,North,Summer/Pre-Monsoon
2021-05-29,MADHYA PRADESH,SEED GRAVITY SEPARATOR MODEL G-6-P II,495238.1,1,495238,PVT.,2021-2022,2021,Q1 2021,Central,Summer
2021-05-29,MADHYA PRADESH,SEED GRAVITY SEPARATOR MODEL G-6-MAX,557143,1,557143,PVT.,2021-2022,2021,Q1 2021,Central,Summer
2021-05-31,BANGLADESH,FREIGHT,126980,1,126980,EXP,2021-2022,2021,Q1 2021,Other,Summer
2021-05-31,BANGLADESH,PARTS LOAD OF ELEVATOR/ CONVEYOR/DRYER/ SQ BIN SILO,277179,1,277179,EXP,2021-2022,2021,Q1 2021,Other,Summer
2021-05-31,BANGLADESH,"V.B. ELEVATOR CAP. 3 TPH, 5.5 MDH (SPS)",293868,2,587736,EXP,2021-2022,2021,Q1 2021,Other,Summer
2021-06-02,CHATTISGARH,INSTALLATION SUPERVISION CHARGES,33898,1,33898,PVT.,2021-2022,2021,Q1 2021,Central,Summer
2021-06-02,HARYANA,"V.B.ELEVATOR CAP. 3 TPH, 3.5 MDH SPG (HANGING TYPE)",60000,1,60000,GOVT.,2021-2022,2021,Q1 2021,North,Summer/Pre-Monsoon
2021-06-02,HARYANA,"V.B.ELEVATOR CAP. 3 TPH, 3.5 MDH SPG (HANGING TYPE)",60000,1,60000,GOVT.,2021-2022,2021,Q1 2021,North,Summer/Pre-Monsoon
2021-06-02,HARYANA,"V.B.ELEVATOR CAP. 3 TPH, 3.75 MDH SPG (HANGING TYPE)",65000,1,65000,GOVT.,2021-2022,2021,Q1 2021,North,Summer/Pre-Monsoon
